id,gutter_luma,gutter_near_black_frac,char_band_luma,char_band_near_black_frac,playfield_luma
cirno-dialogue,31.09,0.2068,38.18,0.0,35.55
marisa-dialogue,72.24,0.2068,91.05,0.0,48.41
sakuya-dialogue,13.35,0.9447,14.65,0.9484,46.74
remilia-dialogue,29.26,0.4441,32.55,0.5217,37.53
intro,48.74,0.3857,60.3,0.1137,37.77
ending-dialogue,96.89,0.2068,147.73,0.0,88.13
gate,33.73,0.3276,30.27,0.5177,33.94
attract-cirno,32.13,0.0,32.08,0.0,36.73
attract-marisa,88.41,0.0,89.38,0.0,54.67
attract-sakuya,30.26,0.3575,28.78,0.5255,33.93
stage1,34.89,0.7521,33.29,0.7661,36.81
stage2,35.08,0.7497,33.29,0.7661,54.8
stage3-interior,34.75,0.7496,33.29,0.7661,50.07
stage3-roof,34.75,0.7496,33.29,0.7661,33.65
stagecard-1,27.04,0.2583,18.5,0.6889,31.3
stagecard-2,68.22,0.2583,35.53,0.6889,45.25
stagecard-3,25.11,0.4938,15.05,0.8889,30.68
continue,34.89,0.7521,33.29,0.7661,31.5
dawn-anchor,30.26,0.3575,28.78,0.5255,35.08
credits-cirno,14.01,0.7528,8.69,0.9988,24.07
credits-reimu,14.23,0.7496,9.3,0.9903,21.41
title,26.26,0.7969,17.9,0.9181,31.13
how,12.8,0.9509,11.4,0.9661,23.76
r5-final,34.75,0.7496,33.29,0.7661,24.16
s1,34.75,0.7496,33.29,0.7661,41.6
c1,34.89,0.7521,33.29,0.7661,32.1
m4-active,35.08,0.7497,33.29,0.7661,85.99
